Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15",0603,3,1.0u,
"C10, C16",0603,2,0.01u,
C11,0603,1,2.2u,
"C13, C14, C17, C19, C2, C3, C4, C5",0603,8,0.1u,
C6,0603,1,0.1uF,
C7,0603,1,4.7uF,
"C8, C9",0603,2,10p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D41, D42, D43, D44, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D64, D65, D66, D67, D68, D69, D7, D8",D_SOD-123,62,D,
"D20, D71, D9",0603,3,LED,
IC1,SON65P300X300X100-9N-D,1,TPS2113ADRBR,
IC2,BGM220PC22HNA2R,1,BGM220PC22HNA2R,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
J5,Pin_D1.0mm_L10.0mm,1,BATT_POS,
J6,Pin_D1.0mm_L10.0mm,1,BATT_NEG,
"K1, K10, K11, K12, K13, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K43, K44, K45, K46, K47, K48, K49, K5, K50, K51, K52, K6, K7, K8, K9",MX-Hotswap-1U,46,KEYSW,
K14,MX-Hotswap-2U,1,KEYSW,
"K15, K28, K53",MX-Hotswap-1.5U,3,KEYSW,
K29,MX-Hotswap-1.75U,1,KEYSW,
"K41, K42",MX-Hotswap-2.25U,2,KEYSW,
"K54, K55, K56, K57, K59, K60, K61, K62",MX-Hotswap-1.25U,8,KEYSW,
K58,MX-Hotswap-6.25U,1,KEYSW,
R1,0402,1,10k,
"R10, R6, R9",0402,3,1.1k,
R2,0402,1,330,
"R3, R4",0402,2,22,
R7,0402,1,750,
SW2,SLW1215865AD,1,BAT_SWITCH,
U1,QFP50P1200X1200X160-64N,1,TM4C123GH6PMI7,
U2,SOT-23-5,1,TPS73633DBV,
U3,adafruit_st7735r,1,Adafruit ST7735R,
X2,NX5032GA16000000MHZLNCD1,1,16MHz,
